City,Cloudiness,Country,Date,Humidity,Lat,Lng,temp,Wind Speed
ancud,34,CL,1639988906,94,-41.8697,-73.8203,10.79,0.6
arica,90,CL,1639988907,72,-18.475,-70.3042,19.13,0.0
santa isabel,82,BR,1639988908,94,-23.3156,-46.2214,18.7,1.41
phalodi,0,IN,1639988908,6,27.1333,72.3667,23.1,1.25
prince rupert,1,CA,1639988909,89,54.3161,-130.3201,-1.17,2.57
thompson,90,CA,1639988910,77,55.7435,-97.8558,-23.91,2.06
ouegoa,48,NC,1639988911,77,-20.35,164.4333,27.24,0.96
smithers,1,CA,1639988851,77,54.7804,-127.1743,-22.82,1.03
umuahia,67,NG,1639988913,30,5.5263,7.4896,26.55,5.41
banjar,100,ID,1639988913,79,-8.19,114.9675,26.92,1.11
boysun,6,UZ,1639988914,59,38.2061,67.1986,9.56,2.07
ramchandrapur,0,IN,1639988915,25,22.8964,88.4753,21.94,4.04
esperance,2,AU,1639988916,61,-33.8667,121.9,22.91,7.68
ostrovnoy,100,RU,1639988917,83,68.0531,39.5131,-9.4,8.06
evensk,15,RU,1639988918,74,61.95,159.2333,-29.94,3.53
verkhnyaya inta,100,RU,1639988919,80,65.9811,60.3094,-20.3,8.87
itaituba,100,BR,1639988919,99,-4.2761,-55.9836,22.67,0.81
gamba,93,GA,1639988920,80,-2.65,10.0,27.52,3.36
havre-saint-pierre,75,CA,1639988921,85,50.2334,-63.5986,-8.67,2.06
bosaso,20,SO,1639988922,83,11.2842,49.1816,25.99,7.72
beringovskiy,86,RU,1639988923,97,63.05,179.3167,-18.69,1.54
inuvik,75,CA,1639988841,78,68.3499,-133.7218,-16.52,4.12
padang,100,ID,1639988925,68,-0.9492,100.3543,29.03,1.55
saskylakh,100,RU,1639988926,97,71.9167,114.0833,-21.63,4.48
takoradi,42,GH,1639988927,70,4.8845,-1.7554,26.74,1.53
antofagasta,100,CL,1639988927,86,-23.65,-70.4,16.6,0.9
ambagarh chauki,0,IN,1639988929,14,20.7833,80.7167,23.29,2.61
komsomolskiy,100,UZ,1639988930,57,40.4272,71.7189,8.4,4.12
alyangula,40,AU,1639988931,83,-13.8483,136.4192,27.93,0.0
diamantino,100,BR,1639988931,98,-14.4086,-56.4461,22.68,1.51
pangnirtung,100,CA,1639988932,98,66.1451,-65.7125,-13.88,2.98
viedma,93,AR,1639988723,84,-40.8135,-62.9967,16.65,6.27
thinadhoo,46,MV,1639988933,72,0.5333,72.9333,27.86,2.53
bac lieu,100,VN,1639988934,59,9.285,105.7244,28.23,2.67
mapiripan,74,CO,1639988935,83,2.8892,-72.1256,22.78,1.73
denpasar,75,ID,1639988936,94,-8.65,115.2167,26.81,2.57
minas,3,UY,1639988937,92,-34.3759,-55.2377,18.62,1.84
barra,100,BR,1639988937,90,-11.0894,-43.1417,22.41,0.88
half moon bay,90,US,1639988812,89,37.4636,-122.4286,9.87,0.89
lazaro cardenas,96,MX,1639988939,79,17.9583,-102.2,24.18,1.98
kruisfontein,88,ZA,1639988939,60,-34.0033,24.7314,23.27,6.8
sungaipenuh,100,ID,1639988940,69,-2.0833,101.3833,21.61,1.17
nanning,99,CN,1639988941,60,22.8167,108.3167,13.25,2.81
erzin,100,TR,1639988942,88,36.9559,36.2,8.4,3.91
kodiak,21,US,1639988943,81,57.79,-152.4072,0.58,2.68
turtas,100,RU,1639988944,94,58.9417,69.1325,-11.66,4.52
chirongui,30,YT,1639988945,71,-12.9319,45.1483,30.96,2.02
sao sebastiao,35,BR,1639988649,89,-23.76,-45.4097,20.33,2.08
vinderei,89,RO,1639988946,69,46.15,27.8,1.7,5.71
dubti,3,ET,1639988947,40,11.7361,41.0853,28.36,3.92
green river,86,US,1639988948,71,41.5286,-109.4662,-3.78,1.08
balkanabat,0,TM,1639988949,25,39.5108,54.3671,18.49,4.34
bubaque,11,GW,1639988950,49,11.2833,-15.8333,26.29,9.75
potchefstroom,88,ZA,1639988950,48,-26.7167,27.1,22.23,1.75
tokmak,99,UA,1639988951,74,47.2514,35.7058,3.88,4.33
santa marta,100,CO,1639988953,70,11.2408,-74.199,27.21,4.47
kadhan,0,PK,1639988954,13,24.481,68.9859,26.28,1.66
caravelas,64,BR,1639988954,94,-17.7125,-39.2481,22.17,1.64
sao filipe,100,CV,1639988955,80,14.8961,-24.4956,23.24,4.05
slave lake,90,CA,1639988838,85,55.2834,-114.769,-14.01,2.06
newton,1,US,1639988956,73,42.337,-71.2092,-4.24,1.79
sobolevo,100,RU,1639988957,88,54.4299,31.8996,-6.09,5.32
sistranda,100,NO,1639988958,57,63.7256,8.834,3.28,4.83
abu kamal,6,SY,1639988959,38,34.4506,40.9171,15.9,10.16
el alto,100,PE,1639988959,78,-4.2714,-81.2147,20.24,6.43
burnie,99,AU,1639988960,76,-41.0667,145.9167,15.52,8.78
quepos,6,CR,1639988961,83,9.4236,-84.1652,27.61,1.92
impfondo,100,CG,1639988962,62,1.6381,18.0667,28.05,1.2
coihaique,0,CL,1639988963,81,-45.5752,-72.0662,8.97,1.54
airai,100,TL,1639988964,83,-8.9266,125.4092,20.73,0.54
kargasok,100,RU,1639988965,87,59.0556,80.8572,-22.39,4.27
matay,6,EG,1639988966,48,28.419,30.7792,12.64,7.14
hoquiam,90,US,1639988966,83,46.9809,-123.8893,5.01,3.09
iranshahr,0,IR,1639988967,40,27.2025,60.6848,23.19,0.0
paita,99,PE,1639988968,81,-5.0892,-81.1144,20.04,4.95
kuruman,41,ZA,1639988969,46,-27.4524,23.4325,25.0,6.39
christchurch,100,NZ,1639988895,40,-43.5333,172.6333,25.11,9.26
arlit,0,NE,1639988971,21,18.7369,7.3853,18.36,2.98
laguna,1,US,1639988972,95,38.421,-121.4238,7.34,1.54
mansa,61,IN,1639988973,8,29.9833,75.3833,20.8,2.16
ciudad bolivar,99,VE,1639988973,89,8.1222,-63.5497,23.9,3.65
itaberaba,100,BR,1639988974,97,-12.5275,-40.3069,21.19,0.92
kangaba,17,ML,1639988975,19,11.9333,-8.4167,21.82,3.75
west wendover,75,US,1639988976,80,40.7391,-114.0733,-5.44,0.0
anadyr,0,RU,1639988976,76,64.75,177.4833,-22.51,9.0
bud,6,US,1639988977,92,39.447,-86.1758,-2.6,2.32
tottori,40,JP,1639988978,57,35.5,134.2333,9.04,2.06
salekhard,100,RU,1639988979,95,66.53,66.6019,-32.59,6.01
mitsamiouli,91,KM,1639988980,66,-11.3847,43.2844,28.37,0.87
kavieng,89,PG,1639988980,74,-2.5744,150.7967,27.75,1.0
inirida,100,CO,1639988982,98,3.8653,-67.9239,22.36,0.77
nantucket,90,US,1639988911,67,41.2835,-70.0995,2.06,8.23
amboasary,100,MG,1639988983,53,-25.0333,46.3833,23.91,6.87
panguna,98,PG,1639988984,97,-6.3164,155.4848,21.95,0.83
bingerville,20,CI,1639988984,94,5.3584,-3.8869,26.52,2.06
mount gambier,90,AU,1639988985,72,-37.8333,140.7667,16.95,7.72
mehran,100,IR,1639988986,46,33.1222,46.1646,19.71,4.67
binga,88,ZW,1639988987,75,-17.6203,27.3414,24.99,5.13
walvis bay,20,NA,1639988987,68,-22.9575,14.5053,20.05,1.03
neftekamsk,100,RU,1639988990,95,56.092,54.2703,-3.81,8.04
kosikha,100,RU,1639988991,97,53.3617,84.5822,-0.57,7.74
gladstone,87,AU,1639988992,57,-23.85,151.25,27.96,4.12
tocopilla,100,CL,1639988992,80,-22.092,-70.1979,18.8,0.93
lasa,44,IT,1639988993,59,46.6166,10.7002,1.49,3.26
hofn,0,IS,1639988994,100,64.2539,-15.2082,-1.99,0.0
shu,48,KZ,1639988995,56,43.5983,73.7614,11.72,2.27
matamoros,3,MX,1639988995,78,25.5333,-103.25,7.28,1.69
abha,0,SA,1639988997,14,18.2164,42.5053,24.14,3.09
buena vista,75,US,1639988997,78,43.4203,-83.8986,-0.72,5.66
samarai,97,PG,1639988998,72,-10.6167,150.6667,28.23,2.83
anjozorobe,93,MG,1639988999,55,-18.4,47.8667,28.18,2.35
victor harbor,2,AU,1639989000,74,-35.5667,138.6167,24.55,1.34
constitucion,9,CL,1639989001,64,-35.3333,-72.4167,14.86,2.62
tezu,0,IN,1639989001,30,27.9167,96.1667,23.25,0.87
zhongshu,0,CN,1639989003,66,24.5167,103.7667,13.67,2.84
saint-joseph,100,RE,1639989004,86,-21.3667,55.6167,28.2,4.26
menongue,90,AO,1639989005,40,-14.6585,17.691,29.09,1.1
vao,44,NC,1639989006,92,-22.6667,167.4833,24.65,9.4
guilin,100,CN,1639989007,79,25.2819,110.2864,10.06,1.27
dakar,100,SN,1639988784,65,14.6937,-17.4441,27.49,3.09
palmeirais,99,BR,1639989009,96,-5.9778,-43.0633,22.91,1.16
semnan,59,IR,1639989009,45,35.5729,53.3971,11.03,2.92
west bay,0,KY,1639989011,86,19.3667,-81.4167,25.56,4.76
srednekolymsk,100,RU,1639989012,97,67.45,153.6833,-34.11,10.44
sao felix do xingu,100,BR,1639989012,99,-6.6447,-51.995,21.66,0.26
chake chake,100,TZ,1639989013,65,-5.2459,39.7666,30.63,1.68
vila franca do campo,53,PT,1639989014,73,37.7167,-25.4333,14.23,10.23
avallon,28,FR,1639988768,96,47.4833,3.9,-0.38,2.65
pareora,35,NZ,1639989015,38,-44.4871,171.2132,20.1,2.6
lata,100,PT,1639989016,77,40.1629,-8.3327,14.49,3.86
nome,90,US,1639989017,86,64.5011,-165.4064,1.17,10.8
ixtapa,99,MX,1639989018,92,20.7,-105.2,21.24,0.45
pishin,19,PK,1639989019,16,30.5803,66.9961,16.19,2.59
carutapera,70,BR,1639989019,86,-1.195,-46.02,25.55,3.0
maceio,0,BR,1639989020,88,-9.6658,-35.7353,24.69,1.54
makokou,38,GA,1639989022,55,0.5738,12.8642,29.97,1.9
labuhan,100,ID,1639989022,72,-6.8844,112.2051,28.64,4.41
hailey,90,US,1639989023,100,43.5196,-114.3153,-2.08,3.09
puerto ayacucho,58,VE,1639989024,85,5.6639,-67.6236,23.37,2.57
pottendorf,9,AT,1639989025,60,47.9,16.3833,3.6,7.22
broome,90,US,1639989026,78,42.2506,-75.833,-3.97,1.34
ilmajoki,0,FI,1639989026,84,62.7333,22.5667,-11.23,2.06
paraiso,39,CR,1639989027,97,9.8383,-83.8656,19.48,1.37
wanning,100,CN,1639989028,87,18.8003,110.3967,17.27,11.92
luderitz,2,NA,1639989029,59,-26.6481,15.1594,21.04,4.29
norden,5,DE,1639989029,60,53.6,7.2,2.19,1.35
verkhoyansk,72,RU,1639989030,100,67.5447,133.385,-45.24,0.81
egvekinot,47,RU,1639989031,100,66.3167,-179.1667,-31.87,2.37
hohhot,0,CN,1639988869,29,40.8106,111.6522,1.16,1.0
lao cai,0,VN,1639989032,48,22.4833,103.95,23.14,0.98
pimentel,100,PE,1639989033,87,-6.8367,-79.9342,19.02,4.54
san carlos de bariloche,0,AR,1639989034,71,-41.1456,-71.3082,8.86,2.06
broken hill,0,AU,1639989035,18,-31.95,141.4333,25.84,4.12
abbeville,95,FR,1639989035,76,50.1,1.8333,6.98,3.21
redmond,100,US,1639988881,90,47.674,-122.1215,4.64,0.45
arona,75,ES,1639989037,86,28.0996,-16.681,18.41,3.09
adrar,100,MR,1639989038,30,20.5022,-10.0711,21.83,4.5
bahia blanca,0,AR,1639989009,46,-38.7196,-62.2724,20.17,4.49
maniitsoq,100,GL,1639989039,61,65.4167,-52.9,4.44,9.1
moron,10,AR,1639989040,81,-34.6534,-58.6198,23.31,2.19
salinas,1,US,1639989040,84,36.6777,-121.6555,11.06,1.54
verkhnevilyuysk,100,RU,1639989041,97,63.4453,120.3167,-30.8,2.62
omboue,56,GA,1639989042,72,-1.5746,9.2618,28.82,2.37
conceicao do araguaia,98,BR,1639989043,98,-8.2578,-49.2647,22.39,1.29
sohag,0,EG,1639989044,37,26.557,31.6948,14.65,7.57
nemours,75,FR,1639989044,89,48.2751,2.6908,5.49,3.54
henties bay,0,NA,1639989045,62,-22.116,14.2845,19.92,2.95
rawson,1,AR,1639989046,69,-43.3002,-65.1023,14.1,3.89
susaki,4,JP,1639989047,75,33.3667,133.2833,11.04,3.08
piacabucu,32,BR,1639989048,81,-10.4056,-36.4344,25.91,4.14
visnes,0,NO,1639989048,75,59.3556,5.2242,2.54,4.12
mackay,100,AU,1639989049,69,-21.15,149.2,28.16,4.12
isangel,90,VU,1639989050,90,-19.55,169.2667,26.8,3.61
coquimbo,90,CL,1639989051,88,-29.9533,-71.3436,15.85,2.06
marawi,100,PH,1639989051,92,7.9986,124.2928,24.8,2.1
sadao,77,TH,1639989052,66,6.6388,100.4234,31.74,3.4
hamilton,1,US,1639988873,89,39.1834,-84.5333,-1.53,0.45
kaeo,100,NZ,1639989053,75,-35.1,173.7833,19.07,2.26
honiara,97,SB,1639989054,88,-9.4333,159.95,26.22,0.3
huilong,34,CN,1639989055,41,31.8111,121.655,15.02,2.97
sangar,98,RU,1639989056,99,63.9242,127.4739,-37.98,1.13
iquitos,75,PE,1639989057,94,-3.7481,-73.2472,25.02,1.03
marck,100,FR,1639989057,68,50.949,1.9433,7.21,5.45
khorramshahr,40,IR,1639989058,94,30.4397,48.1664,22.98,6.17
rio branco,75,BR,1639988994,100,-9.9747,-67.81,23.34,1.03
eureka,100,US,1639988790,76,40.8021,-124.1637,12.74,4.47
idlib,97,SY,1639989060,82,35.9306,36.6339,6.66,2.0
tessalit,36,ML,1639989061,17,20.1986,1.0114,21.82,7.24
nouadhibou,97,MR,1639989062,82,20.931,-17.0347,18.99,4.63
ust-nera,62,RU,1639989063,98,64.5667,143.2,-42.0,0.28
alghero,20,IT,1639989063,100,40.5589,8.3181,4.05,0.51
amboise,90,FR,1639989065,94,47.4125,0.9827,3.45,6.17
sturgeon falls,100,CA,1639989011,80,46.3646,-79.9326,-7.17,5.58
lakes entrance,0,AU,1639989066,71,-37.8811,147.981,18.14,3.29
matagami,90,CA,1639989067,78,49.7502,-77.6328,-15.94,6.69
cape canaveral,90,US,1639989067,87,28.4058,-80.6048,22.22,4.12
usakos,63,NA,1639989068,14,-22.0,15.6,30.66,2.56
oskemen,90,KZ,1639989069,80,49.9565,82.6119,-0.02,5.0
khandbari,5,NP,1639989070,45,27.3747,87.2039,18.47,2.27
havoysund,100,NO,1639989071,60,70.9963,24.6622,-0.87,5.77
norman wells,75,CA,1639989071,78,65.282,-126.8329,-17.98,1.54
choix,0,MX,1639989072,48,26.7092,-108.3219,12.85,2.32
margate,70,GB,1639989073,81,51.3813,1.3862,7.05,0.89
ampanihy,87,MG,1639989074,34,-24.7,44.75,30.48,5.2
kysyl-syr,100,RU,1639989074,97,63.8986,122.7617,-33.34,0.66
grootfontein,92,NA,1639989075,64,-19.5667,18.1167,23.76,1.54
ahipara,100,NZ,1639989076,85,-35.1667,173.1667,16.87,2.3
faya,15,SA,1639989077,53,18.3851,42.4509,24.29,4.0
lompoc,75,US,1639989077,84,34.6391,-120.4579,9.88,1.34
jonesboro,1,US,1639989078,92,35.8423,-90.7043,-1.07,0.0
beyneu,73,KZ,1639989079,66,45.3167,55.2,6.84,8.35
baft,100,IR,1639989080,35,29.234,56.6057,14.61,3.05
noumea,7,NC,1639988856,99,-22.2763,166.4572,28.99,5.64
nuuk,75,GL,1639989082,50,64.1835,-51.7216,10.34,6.69
congonhas,100,BR,1639989082,93,-20.4997,-43.8578,16.06,2.14
new plymouth,89,NZ,1639989083,67,-39.0667,174.0833,17.81,5.64
luganville,59,VU,1639989084,82,-15.5333,167.1667,26.75,1.4
esperantinopolis,100,BR,1639989085,98,-4.8667,-44.7083,23.19,1.19
calafat,18,RO,1639989085,67,43.9911,22.9328,4.69,9.2
itupiranga,100,BR,1639989086,98,-5.1347,-49.3267,25.18,0.32
herat,39,AF,1639989006,41,34.5,62.0,17.27,4.57
turukhansk,5,RU,1639989087,94,65.8167,87.9833,-37.1,1.47
banda aceh,100,ID,1639989088,91,5.5577,95.3222,25.01,5.46
chapais,97,CA,1639989089,89,49.7834,-74.8492,-17.39,3.48
xam nua,48,LA,1639989090,52,20.4197,104.0439,21.21,0.97
bridgetown,20,BB,1639989091,78,13.1,-59.6167,25.27,8.23
san cristobal,99,VE,1639989091,92,7.7669,-72.225,19.74,0.13
pahrump,1,US,1639989092,27,36.2083,-115.9839,5.1,1.97
biak,90,ID,1639989093,75,-0.9131,122.8766,27.87,0.34
semey,90,KZ,1639988844,86,50.4111,80.2275,0.12,4.0
robertsport,7,LR,1639989094,75,6.7533,-11.3686,27.32,2.48
belaya gora,100,RU,1639989095,98,68.5333,146.4167,-25.47,6.57
kiruna,81,SE,1639989096,85,67.8557,20.2251,-15.49,1.03
mana,67,GF,1639989097,89,5.6592,-53.7767,24.86,2.51
sao domingos,99,BR,1639989097,94,-13.3983,-46.3183,20.9,1.15
escanaba,75,US,1639989098,75,45.7453,-87.0646,0.17,5.14
tafalla,29,ES,1639989099,82,42.5269,-1.6745,0.53,0.79
ewa beach,40,US,1639989100,73,21.3156,-158.0072,23.97,7.15
teya,5,RU,1639989100,97,60.3778,92.6267,-32.36,1.43
batemans bay,6,AU,1639989101,91,-35.7167,150.1833,22.28,1.87
yulara,0,AU,1639989102,11,-25.2406,130.9889,36.91,2.06
ketchikan,2,US,1639989103,80,55.3422,-131.6461,-3.74,3.6
bhimunipatnam,0,IN,1639989103,54,17.8833,83.4333,27.73,3.23
serenje,100,ZM,1639989104,90,-13.2325,30.2352,18.75,2.91
edmundston,90,CA,1639989105,72,47.3737,-68.3251,-10.87,3.09
mehamn,100,NO,1639989106,73,71.0357,27.8492,-0.9,7.08
pangody,62,RU,1639989106,87,65.85,74.4859,-33.48,4.38
venado tuerto,95,AR,1639989107,56,-33.7456,-61.9688,20.44,2.89
sur,37,OM,1639989108,51,22.5667,59.5289,25.0,2.38
dzhankoy,100,UA,1639989109,71,45.7167,34.4,5.93,4.29
poum,16,NC,1639989110,78,-20.2333,164.0167,27.26,2.12
surt,13,LY,1639989111,62,31.2089,16.5887,12.94,7.86
wadi maliz,3,TN,1639989112,52,36.4681,8.5495,10.59,0.95
sisimiut,99,GL,1639989113,54,66.9395,-53.6735,2.55,11.08
hovd,100,MN,1639989114,63,48.0056,91.6419,-6.21,1.1
saint-denis,90,FR,1639989115,87,48.9167,2.3333,5.6,1.34
dwarka,2,IN,1639989116,34,22.2394,68.9678,24.88,3.71
brandfort,54,ZA,1639989117,50,-28.7001,26.4597,19.67,2.76
boyuibe,100,BO,1639989117,93,-20.4167,-63.2833,20.44,1.01
wawa,0,NG,1639989118,22,9.9022,4.4192,25.12,3.57
malacacheta,100,BR,1639989119,99,-17.8422,-42.0767,18.17,1.27
mbini,49,GQ,1639989120,72,1.574,9.6134,28.91,0.57
thap khlo,10,TH,1639989121,39,16.16,100.5966,29.91,2.0
carauari,99,BR,1639989122,99,-4.8828,-66.8958,23.07,1.01
matara,66,LK,1639989123,80,5.9485,80.5353,26.82,2.73
jaszszentandras,1,HU,1639989123,58,47.5833,20.1833,3.91,4.48
akdepe,36,TM,1639989124,45,42.0551,59.3788,11.05,4.61
valente,100,BR,1639989125,89,-11.4122,-39.4619,21.87,1.54
kirov,100,RU,1639989126,94,58.5966,49.6601,-8.62,4.82
qazvin,100,IR,1639989127,76,36.2797,50.0049,7.79,1.03
barcelos,100,PT,1639989127,70,41.5388,-8.6151,14.82,3.3
dunedin,6,NZ,1639989042,69,-45.8742,170.5036,15.4,5.4
kokstad,11,ZA,1639989129,25,-30.5472,29.4241,24.59,2.95
canatlan,0,MX,1639989130,82,24.5167,-104.7833,6.29,1.52
southbridge,0,US,1639989131,76,42.0751,-72.0334,-6.19,0.89
la rioja,83,ES,1639988925,57,42.25,-2.5,-3.12,2.41
kadnikov,100,RU,1639989132,91,59.5022,40.338,-15.03,4.85
gurupa,75,BR,1639989133,98,-1.405,-51.64,22.82,1.22
